date,strategy,nifty
2018-01-01,1.0,1.0
2018-01-02,1.004570698383054,1.0557086114292011
2018-01-03,0.9859438737897478,1.0021848393232748
2018-01-09,1.028575465083571,1.0872642074447445
2018-01-10,1.0675327313819045,1.054884505368668
2018-01-11,1.068521972726844,0.9947199716354197
2018-01-12,1.0528825381306568,0.9947199716354197
2018-01-15,1.0418595631441876,0.9947199716354197
2018-01-16,1.07441031406577,0.9947199716354197
2018-01-17,1.0476536910216907,0.9947199716354197
2018-02-15,1.040811798463388,1.0112547973034487
2018-02-16,1.048942099360592,1.0112547973034487
2018-02-19,1.1192714235150951,1.0112547973034487
2018-02-20,1.1046546530496297,1.0112547973034487
2018-02-21,1.1130959490631205,1.0112547973034487
2018-02-22,1.1114076898604222,1.0112547973034487
2018-02-23,1.1018556970030513,1.0112547973034487
2018-02-26,1.1273128686647886,1.0112547973034487
2018-03-01,1.1019511567549494,1.0007330710887308
2018-03-06,1.079794656660284,1.0233911964390956
2018-04-20,1.06424397856165,1.0415838168568023
2018-04-24,1.0617504551242674,1.0415838168568023
2018-04-25,1.0484244118359594,1.0415838168568023
2018-04-26,1.0651432820964437,1.0415838168568023
2018-04-27,1.1140326924425061,1.0415838168568023
2018-04-30,1.1047943924941699,1.0415838168568023
2018-05-02,1.0831702302257193,1.0221358720910736
2018-05-03,1.0738501754105836,0.9926501238554752
2018-05-04,1.0633037975934565,0.9894207780136173
2018-06-14,1.1006187581019478,1.0158688329795755
2018-06-15,1.1045305011357258,1.0158688329795755
2018-06-18,1.0894587853291102,1.0158688329795755
2018-06-19,1.0677140961119316,1.0158688329795755
2018-06-20,1.0515302180702224,1.0158688329795755
2018-07-11,1.059171298469838,1.015605310692777
2018-07-27,1.053803631295015,1.0247375557589211
2018-07-30,1.0370478053844183,1.0247375557589211
2018-08-03,1.028089096311988,0.9815151094096631
2018-08-06,1.0190274135720587,1.031823909616648
2018-08-07,1.0095881607179655,1.031823909616648
2018-08-08,1.0138444056412657,1.097210975942812
2018-08-09,1.0120252041821132,1.097210975942812
2018-08-29,1.0124302510604226,0.9916151999655034
2018-08-30,1.0297537944711936,0.9916151999655034
2018-08-31,1.091912911565597,0.9916151999655034
2018-09-03,1.0976770402184612,0.9800010540891483
2018-09-04,1.0704765844673765,0.9946145627207009
2018-09-05,1.087426238452016,1.0293372174921314
2018-09-06,1.0729691806415882,1.0293372174921314
2018-09-07,1.0467034484558326,1.0399931005074012
2018-11-30,1.0796728616426696,1.0108858661019318
2018-12-03,1.06333899550174,0.9986440580515656
2018-12-06,1.0731211650859234,1.039030046332011
2018-12-07,1.095860418943893,1.0563123170316868
2018-12-11,1.1469731550346358,1.004470296246965
2018-12-12,1.1348034559654114,1.0289443297190866
2018-12-13,1.1389579394407676,1.0289443297190866
2018-12-14,1.1640107337315506,1.0289443297190866
2018-12-17,1.1664446735453953,1.0289443297190866
2018-12-18,1.1800831293988365,1.0289443297190866
2018-12-19,1.1708089794184966,1.0289443297190866
2018-12-20,1.139041868399866,1.0289443297190866
2019-03-11,1.1337902057338658,1.0841786010320507
2019-03-13,1.132346722833047,1.1493596408430813
2019-03-20,1.139532581274667,1.1493596408430813
2019-03-22,1.125373463753605,1.1493596408430813
2019-03-25,1.1038584083011804,1.1493596408430813
2019-05-31,1.1028149455187275,1.1516786369669072
2019-06-10,1.1178275110022422,1.0489336930013278
2019-06-11,1.105492862604976,1.1466621308891245
2019-06-12,1.115271317419914,1.142393069842989
2019-06-13,1.1010296674612283,1.142393069842989
2019-07-29,1.0675305691092627,1.1510701400501175
2019-07-31,0.9914281834513886,1.1510701400501175
2019-08-01,1.0276487957752438,1.035129916487392
2019-08-02,1.0814287628468753,1.0486845446574453
2019-08-05,1.0785851426448063,1.0885339057356829
2019-08-06,1.0605992448667192,1.0885339057356829
2019-08-08,1.0752864605060475,1.0571987101781897
2019-08-09,1.0596177602893895,1.0571987101781897
2019-08-23,1.1296927501207639,1.1411137889234402
2019-08-26,1.140148168690486,1.1411137889234402
2019-08-27,1.100931889977515,1.1411137889234402
2019-08-28,1.1046538836431117,1.1411137889234402
2019-08-29,1.1153461563551903,1.1411137889234402
2019-08-30,1.121369018832247,1.1411137889234402
2019-09-05,1.1243468449601324,1.0830095203415253
2019-09-06,1.2188008130390053,1.0830095203415253
2019-09-09,1.2018707004467595,1.0543814173665982
2019-09-11,1.1985917458340323,1.0841115226317735
2019-09-12,1.1783826786290588,1.143926290420726
2019-09-13,1.1717913106830657,1.143926290420726
2019-09-16,1.1735311641510437,1.143926290420726
2019-09-26,1.1633672011842064,1.143926290420726
2019-09-27,1.1583529794538998,1.143926290420726
2019-10-24,1.1200964367885913,1.1361931091317663
2019-12-30,1.1133194463479907,1.1472131320342487
2020-01-02,1.0946231128582955,1.117511774654906
2020-01-17,1.0982711269650018,1.2561915759111886
2020-01-20,1.0945866327172284,1.2561915759111886
2020-01-21,1.0986359283756724,1.2561915759111886
2020-01-27,1.078692066834115,1.2561915759111886
2020-01-28,1.0715868463201914,1.2561915759111886
2020-04-09,1.0467412173685091,1.0860807528113032
2020-04-13,1.0165453497340162,1.2705176056844147
2020-04-15,0.9852501179866173,1.2705176056844147
2020-04-16,0.9832712625833858,1.2705176056844147
2020-04-28,0.9992591171066684,1.2705176056844147
2020-06-04,0.9981822878229448,1.0530781798755209
2020-06-05,0.9902599009498365,0.8883959158836854
2020-07-03,1.0482538052123025,1.1593399485412836
2020-07-06,1.0240865705100017,0.8815107972267866
2020-07-07,1.0160681207245161,1.0348903507721194
2020-07-08,1.0305759205689529,1.0746007637354993
2020-07-09,1.0180074667191452,1.0881122700768036
2020-07-10,0.9940267075932508,1.124890398685262
2020-07-17,1.0198488209977121,1.2798319206941642
2020-07-20,1.0585285660421877,1.2798319206941642
2020-07-21,1.0784383058947309,1.2798319206941642
2020-07-22,1.1255948274774985,1.2798319206941642
2020-07-23,1.1669814423409244,1.2798319206941642
2020-07-24,1.1231016579074127,1.2798319206941642
2020-07-27,1.156616980270996,1.2798319206941642
2020-07-28,1.1427264640948032,1.2798319206941642
2020-07-29,1.1149454317424172,1.2798319206941642
2020-08-03,1.1040713884616575,1.1523446296553597
2020-08-04,1.098569640373178,0.8383602205921098
2020-08-05,1.1079873385716927,0.8865368859331795
2020-08-06,1.0950744121757907,0.974308972694299
2020-08-07,1.0711903528269793,1.0258922625065272
2020-08-28,1.0313961764762003,1.2833966585374024
2020-09-16,1.02226417947323,1.2964434073910807
2020-09-17,1.0411570235721894,1.2964434073910807
2020-09-18,0.9712726393219132,1.2964434073910807
2020-09-21,0.9748270094128897,1.2964434073910807
2020-09-28,0.9752771536247603,1.2964434073910807
2020-09-29,0.9741385535594406,1.2964434073910807
2020-09-30,0.974165032630727,1.2964434073910807
2020-10-27,0.9718210105721097,1.2915754320567667
2020-10-28,0.9811970988065786,1.2915754320567667
2020-10-29,0.9873336958813855,1.2915754320567667
2020-11-27,0.9906969279007224,1.294982056527926
2020-12-09,0.9806687416278498,1.083641973829841
2020-12-10,0.9677199753322075,1.1432986282467144
2020-12-11,0.9714159305822612,1.2161122317462902
2020-12-14,0.968185200468578,1.2161122317462902
2020-12-18,0.9397084272292654,1.2161122317462902
2020-12-23,0.9608484750606205,1.2161122317462902
2020-12-29,0.953260979218504,1.2161122317462902
2020-12-30,0.9650422027944421,1.2161122317462902
2020-12-31,0.999949531908333,1.2161122317462902
2021-01-01,1.0415959148372667,1.3433407918126021
2021-01-04,1.0247240390988859,1.4246829347758385
2021-01-05,1.0110762430633855,1.4246829347758385
2021-01-06,0.9994889490936358,1.4924800321976321
2021-01-07,1.001452486356292,1.5025561661819455
2021-03-26,1.004178740421681,1.5035479682431692
2021-03-30,1.0046628416108625,1.5035479682431692
2021-03-31,1.011516695289271,1.5035479682431692
2021-04-05,1.043679828077531,1.3891457565724858
2021-04-06,1.0495893950871018,1.5016218598923874
2021-04-07,1.0436798280775308,1.5016218598923874
2021-04-08,1.054945726036202,1.5016218598923874
2021-04-09,1.0637723559100718,1.5016218598923874
2021-04-12,1.0493379241505243,1.5016218598923874
2021-04-23,1.0614111260279402,1.5016218598923874
2021-04-26,1.0320133702369967,1.5016218598923874
2021-04-28,1.0185538051183165,1.5016218598923874
2021-06-30,1.0185538051183165,1.411022897691065
